HOLE,PAR,INDEX,YARDAGE,STROKE_1_DISTANCE,STROKE_1_CLUB,STROKE_1_LIE,STROKE_2_DISTANCE,STROKE_2_CLUB,STROKE_2_LIE,STROKE_3_DISTANCE,STROKE_3_CLUB,STROKE_3_LIE,STROKE_4_DISTANCE,STROKE_4_CLUB,STROKE_4_LIE,STROKE_5_DISTANCE,STROKE_5_CLUB,STROKE_5_LIE,STROKE_6_DISTANCE,STROKE_6_CLUB,STROKE_6_LIE,STROKE_7_DISTANCE,STROKE_7_CLUB,STROKE_7_LIE,STROKE_8_DISTANCE,STROKE_8_CLUB,STROKE_8_LIE,SCORE,PUTTS,FAIRWAY_HIT,CHIP_SHOTS,BUNKER_ATTEMPTS,GIR,PENALTIES
1,4,17,370,,,,,,,,,,,,,,,,,,,,,,,,,5,2,No,,,,
2,3,11,130,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,1
3,4,1,230,,,,,,,,,,,,,,,,,,,,,,,,,3,2,Yes,,,,
4,4,17,260,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Yes,,,,
5,3,7,131,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,
6,4,15,288,,,,,,,,,,,,,,,,,,,,,,,,,4,1,No,,,,
7,4,9,276,,,,,,,,,,,,,,,,,,,,,,,,,4,1,No,,,,
8,4,13,292,,,,,,,,,,,,,,,,,,,,,,,,,4,2,Yes,,,,
9,4,3,341,,,,,,,,,,,,,,,,,,,,,,,,,4,2,Yes,,,,
10,4,16,287,,,,,,,,,,,,,,,,,,,,,,,,,5,2,Yes,,,,
11,3,14,139,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,
12,4,4,394,,,,,,,,,,,,,,,,,,,,,,,,,5,2,No,,1,,
13,4,10,247,,,,,,,,,,,,,,,,,,,,,,,,,6,2,No,,,,
14,4,2,425,,,,,,,,,,,,,,,,,,,,,,,,,4,2,Yes,,,,
15,5,8,517,,,,,,,,,,,,,,,,,,,,,,,,,6,3,Yes,,,,
16,3,6,180,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,
17,4,18,356,,,,,,,,,,,,,,,,,,,,,,,,,4,2,Yes,,,,
18,4,12,388,,,,,,,,,,,,,,,,,,,,,,,,,6,2,No,,,,1
